ANO;SIGLA DA UNIDADE DA FEDERACAO;NOME DA UNIDADE DA FEDERACAO;CODIGO DO MUNICIPIO;NOME DO MUNICIPIO;"PRODUTO INTERNO BRUTO, 
A PRECOS CORRENTES
(R$ 1.000)"
2010;AC;ACRE;1200013;ACRELANDIA; 121.915 
2011;AC;ACRE;1200013;ACRELANDIA; 142.761 
2012;AC;ACRE;1200013;ACRELANDIA; 162.199 
2013;AC;ACRE;1200013;ACRELANDIA; 214.652 
2014;AC;ACRE;1200013;ACRELANDIA; 207.822 
2015;AC;ACRE;1200013;ACRELANDIA; 212.961 
2016;AC;ACRE;1200013;ACRELANDIA; 239.610 
2017;AC;ACRE;1200013;ACRELANDIA; 229.644 
2018;AC;ACRE;1200013;ACRELANDIA; 253.138 
2019;AC;ACRE;1200013;ACRELANDIA; 253.152 
2020;AC;ACRE;1200013;ACRELANDIA; 291.582 
2021;AC;ACRE;1200013;ACRELANDIA; 398.725 
2010;AC;ACRE;1200054;ASSIS BRASIL; 42.017 
2011;AC;ACRE;1200054;ASSIS BRASIL; 46.581 
2012;AC;ACRE;1200054;ASSIS BRASIL; 52.805 
2013;AC;ACRE;1200054;ASSIS BRASIL; 64.602 
2014;AC;ACRE;1200054;ASSIS BRASIL; 73.332 
2015;AC;ACRE;1200054;ASSIS BRASIL; 77.234 
2016;AC;ACRE;1200054;ASSIS BRASIL; 85.322 
2017;AC;ACRE;1200054;ASSIS BRASIL; 91.743 
2018;AC;ACRE;1200054;ASSIS BRASIL; 89.875 
2019;AC;ACRE;1200054;ASSIS BRASIL; 92.705 
2020;AC;ACRE;1200054;ASSIS BRASIL; 96.315 
2021;AC;ACRE;1200054;ASSIS BRASIL; 133.916 
2010;AC;ACRE;1200104;BRASILEIA; 190.699 
2011;AC;ACRE;1200104;BRASILEIA; 203.479 
2012;AC;ACRE;1200104;BRASILEIA; 238.704 
2013;AC;ACRE;1200104;BRASILEIA; 294.874 
2014;AC;ACRE;1200104;BRASILEIA; 340.917 
2015;AC;ACRE;1200104;BRASILEIA; 388.114 
2016;AC;ACRE;1200104;BRASILEIA; 388.521 
2017;AC;ACRE;1200104;BRASILEIA; 388.018 
2018;AC;ACRE;1200104;BRASILEIA; 439.547 
2019;AC;ACRE;1200104;BRASILEIA; 454.009 
2020;AC;ACRE;1200104;BRASILEIA; 488.072 
2021;AC;ACRE;1200104;BRASILEIA; 685.636 
2010;AC;ACRE;1200138;BUJARI; 86.265 
2011;AC;ACRE;1200138;BUJARI; 102.702 
2012;AC;ACRE;1200138;BUJARI; 107.914 
2013;AC;ACRE;1200138;BUJARI; 120.210 
2014;AC;ACRE;1200138;BUJARI; 129.895 
2015;AC;ACRE;1200138;BUJARI; 147.868 
2016;AC;ACRE;1200138;BUJARI; 159.696 
2017;AC;ACRE;1200138;BUJARI; 158.301 
2018;AC;ACRE;1200138;BUJARI; 158.191 
2019;AC;ACRE;1200138;BUJARI; 159.100 
2020;AC;ACRE;1200138;BUJARI; 179.175 
2021;AC;ACRE;1200138;BUJARI; 300.830 
2010;AC;ACRE;1200179;CAPIXABA; 108.531 
2011;AC;ACRE;1200179;CAPIXABA; 116.149 
2012;AC;ACRE;1200179;CAPIXABA; 129.649 
2013;AC;ACRE;1200179;CAPIXABA; 158.800 
2014;AC;ACRE;1200179;CAPIXABA; 149.067 
2015;AC;ACRE;1200179;CAPIXABA; 160.134 
2016;AC;ACRE;1200179;CAPIXABA; 177.480 
2017;AC;ACRE;1200179;CAPIXABA; 170.990 
2018;AC;ACRE;1200179;CAPIXABA; 164.238 
2019;AC;ACRE;1200179;CAPIXABA; 152.806 
2020;AC;ACRE;1200179;CAPIXABA; 144.677 
2021;AC;ACRE;1200179;CAPIXABA; 512.353 
2010;AC;ACRE;1200203;CRUZEIRO DO SUL; 771.040 
2011;AC;ACRE;1200203;CRUZEIRO DO SUL; 758.483 
2012;AC;ACRE;1200203;CRUZEIRO DO SUL; 838.657 
2013;AC;ACRE;1200203;CRUZEIRO DO SUL; 969.784 
2014;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.150.664 
2015;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.060.536 
2016;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.223.340 
2017;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.287.867 
2018;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.401.490 
2019;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.439.760 
2020;AC;ACRE;1200203;CRUZEIRO DO SUL; 1.793.428 
2021;AC;ACRE;1200203;CRUZEIRO DO SUL; 2.058.630 
2010;AC;ACRE;1200252;EPITACIOLANDIA; 144.997 
2011;AC;ACRE;1200252;EPITACIOLANDIA; 159.664 
2012;AC;ACRE;1200252;EPITACIOLANDIA; 185.761 
2013;AC;ACRE;1200252;EPITACIOLANDIA; 268.087 
2014;AC;ACRE;1200252;EPITACIOLANDIA; 257.492 
2015;AC;ACRE;1200252;EPITACIOLANDIA; 276.370 
2016;AC;ACRE;1200252;EPITACIOLANDIA; 412.261 
2017;AC;ACRE;1200252;EPITACIOLANDIA; 435.952 
2018;AC;ACRE;1200252;EPITACIOLANDIA; 440.177 
2019;AC;ACRE;1200252;EPITACIOLANDIA; 422.617 
2020;AC;ACRE;1200252;EPITACIOLANDIA; 433.585 
2021;AC;ACRE;1200252;EPITACIOLANDIA; 644.542 
2010;AC;ACRE;1200302;FEIJO; 200.521 
2011;AC;ACRE;1200302;FEIJO; 205.065 
2012;AC;ACRE;1200302;FEIJO; 224.521 
2013;AC;ACRE;1200302;FEIJO; 267.203 
2014;AC;ACRE;1200302;FEIJO; 309.503 
2015;AC;ACRE;1200302;FEIJO; 322.418 
2016;AC;ACRE;1200302;FEIJO; 344.518 
2017;AC;ACRE;1200302;FEIJO; 350.880 
2018;AC;ACRE;1200302;FEIJO; 366.052 
2019;AC;ACRE;1200302;FEIJO; 362.490 
2020;AC;ACRE;1200302;FEIJO; 386.502 
2021;AC;ACRE;1200302;FEIJO; 567.040 
2010;AC;ACRE;1200328;JORDAO; 41.234 
2011;AC;ACRE;1200328;JORDAO; 45.671 
2012;AC;ACRE;1200328;JORDAO; 52.136 
2013;AC;ACRE;1200328;JORDAO; 58.271 
2014;AC;ACRE;1200328;JORDAO; 70.473 
2015;AC;ACRE;1200328;JORDAO; 72.755 
2016;AC;ACRE;1200328;JORDAO; 73.737 
2017;AC;ACRE;1200328;JORDAO; 78.628 
2018;AC;ACRE;1200328;JORDAO; 78.138 
2019;AC;ACRE;1200328;JORDAO; 82.098 
2020;AC;ACRE;1200328;JORDAO; 82.867 
2021;AC;ACRE;1200328;JORDAO; 113.975 
2010;AC;ACRE;1200336;MANCIO LIMA; 95.419 
2011;AC;ACRE;1200336;MANCIO LIMA; 104.768 
2012;AC;ACRE;1200336;MANCIO LIMA; 121.766 
2013;AC;ACRE;1200336;MANCIO LIMA; 150.136 
2014;AC;ACRE;1200336;MANCIO LIMA; 187.729 
2015;AC;ACRE;1200336;MANCIO LIMA; 179.969 
2016;AC;ACRE;1200336;MANCIO LIMA; 201.077 
2017;AC;ACRE;1200336;MANCIO LIMA; 194.421 
2018;AC;ACRE;1200336;MANCIO LIMA; 201.048 
2019;AC;ACRE;1200336;MANCIO LIMA; 205.214 
2020;AC;ACRE;1200336;MANCIO LIMA; 215.662 
2021;AC;ACRE;1200336;MANCIO LIMA; 269.205 
2010;AC;ACRE;1200344;MANOEL URBANO; 55.803 
2011;AC;ACRE;1200344;MANOEL URBANO; 59.548 
2012;AC;ACRE;1200344;MANOEL URBANO; 66.179 
2013;AC;ACRE;1200344;MANOEL URBANO; 80.018 
2014;AC;ACRE;1200344;MANOEL URBANO; 94.643 
2015;AC;ACRE;1200344;MANOEL URBANO; 118.697 
2016;AC;ACRE;1200344;MANOEL URBANO; 128.845 
2017;AC;ACRE;1200344;MANOEL URBANO; 135.401 
2018;AC;ACRE;1200344;MANOEL URBANO; 138.288 
2019;AC;ACRE;1200344;MANOEL URBANO; 131.637 
2020;AC;ACRE;1200344;MANOEL URBANO; 138.414 
2021;AC;ACRE;1200344;MANOEL URBANO; 184.904 
2010;AC;ACRE;1200351;MARECHAL THAUMATURGO; 96.005 
2011;AC;ACRE;1200351;MARECHAL THAUMATURGO; 94.956 
2012;AC;ACRE;1200351;MARECHAL THAUMATURGO; 119.709 
2013;AC;ACRE;1200351;MARECHAL THAUMATURGO; 146.339 
2014;AC;ACRE;1200351;MARECHAL THAUMATURGO; 162.375 
2015;AC;ACRE;1200351;MARECHAL THAUMATURGO; 159.654 
2016;AC;ACRE;1200351;MARECHAL THAUMATURGO; 176.112 
2017;AC;ACRE;1200351;MARECHAL THAUMATURGO; 195.344 
2018;AC;ACRE;1200351;MARECHAL THAUMATURGO; 192.055 
2019;AC;ACRE;1200351;MARECHAL THAUMATURGO; 194.430 
2020;AC;ACRE;1200351;MARECHAL THAUMATURGO; 209.775 
2021;AC;ACRE;1200351;MARECHAL THAUMATURGO; 256.865 
2010;AC;ACRE;1200385;PLACIDO DE CASTRO; 132.633 
2011;AC;ACRE;1200385;PLACIDO DE CASTRO; 152.724 
2012;AC;ACRE;1200385;PLACIDO DE CASTRO; 178.793 
2013;AC;ACRE;1200385;PLACIDO DE CASTRO; 199.657 
2014;AC;ACRE;1200385;PLACIDO DE CASTRO; 237.006 
2015;AC;ACRE;1200385;PLACIDO DE CASTRO; 252.968 
2016;AC;ACRE;1200385;PLACIDO DE CASTRO; 242.578 
2017;AC;ACRE;1200385;PLACIDO DE CASTRO; 241.231 
2018;AC;ACRE;1200385;PLACIDO DE CASTRO; 262.261 
2019;AC;ACRE;1200385;PLACIDO DE CASTRO; 276.129 
2020;AC;ACRE;1200385;PLACIDO DE CASTRO; 267.420 
2021;AC;ACRE;1200385;PLACIDO DE CASTRO; 601.471 
2010;AC;ACRE;1200807;PORTO ACRE; 114.661 
2011;AC;ACRE;1200807;PORTO ACRE; 124.816 
2012;AC;ACRE;1200807;PORTO ACRE; 143.464 
2013;AC;ACRE;1200807;PORTO ACRE; 172.519 
2014;AC;ACRE;1200807;PORTO ACRE; 203.206 
2015;AC;ACRE;1200807;PORTO ACRE; 211.744 
2016;AC;ACRE;1200807;PORTO ACRE; 220.840 
2017;AC;ACRE;1200807;PORTO ACRE; 229.926 
2018;AC;ACRE;1200807;PORTO ACRE; 234.946 
2019;AC;ACRE;1200807;PORTO ACRE; 226.959 
2020;AC;ACRE;1200807;PORTO ACRE; 242.881 
2021;AC;ACRE;1200807;PORTO ACRE; 471.315 
2010;AC;ACRE;1200393;PORTO WALTER; 60.318 
2011;AC;ACRE;1200393;PORTO WALTER; 60.554 
2012;AC;ACRE;1200393;PORTO WALTER; 67.807 
2013;AC;ACRE;1200393;PORTO WALTER; 82.060 
2014;AC;ACRE;1200393;PORTO WALTER; 96.499 
2015;AC;ACRE;1200393;PORTO WALTER; 97.729 
2016;AC;ACRE;1200393;PORTO WALTER; 107.298 
2017;AC;ACRE;1200393;PORTO WALTER; 112.711 
2018;AC;ACRE;1200393;PORTO WALTER; 112.166 
2019;AC;ACRE;1200393;PORTO WALTER; 118.375 
2020;AC;ACRE;1200393;PORTO WALTER; 129.394 
2021;AC;ACRE;1200393;PORTO WALTER; 160.535 
2010;AC;ACRE;1200401;RIO BRANCO; 5.125.851 
2011;AC;ACRE;1200401;RIO BRANCO; 5.516.687 
2012;AC;ACRE;1200401;RIO BRANCO; 6.270.619 
2013;AC;ACRE;1200401;RIO BRANCO; 6.807.581 
2014;AC;ACRE;1200401;RIO BRANCO; 8.174.771 
2015;AC;ACRE;1200401;RIO BRANCO; 8.258.089 
2016;AC;ACRE;1200401;RIO BRANCO; 7.880.432 
2017;AC;ACRE;1200401;RIO BRANCO; 8.153.153 
2018;AC;ACRE;1200401;RIO BRANCO; 8.911.060 
2019;AC;ACRE;1200401;RIO BRANCO; 9.130.749 
2020;AC;ACRE;1200401;RIO BRANCO; 9.362.488 
2021;AC;ACRE;1200401;RIO BRANCO; 10.955.675 
2010;AC;ACRE;1200427;RODRIGUES ALVES; 124.221 
2011;AC;ACRE;1200427;RODRIGUES ALVES; 114.058 
2012;AC;ACRE;1200427;RODRIGUES ALVES; 109.581 
2013;AC;ACRE;1200427;RODRIGUES ALVES; 152.053 
2014;AC;ACRE;1200427;RODRIGUES ALVES; 171.505 
2015;AC;ACRE;1200427;RODRIGUES ALVES; 166.470 
2016;AC;ACRE;1200427;RODRIGUES ALVES; 183.719 
2017;AC;ACRE;1200427;RODRIGUES ALVES; 185.008 
2018;AC;ACRE;1200427;RODRIGUES ALVES; 187.068 
2019;AC;ACRE;1200427;RODRIGUES ALVES; 190.863 
2020;AC;ACRE;1200427;RODRIGUES ALVES; 202.059 
2021;AC;ACRE;1200427;RODRIGUES ALVES; 255.649 
2010;AC;ACRE;1200435;SANTA ROSA DO PURUS; 35.855 
2011;AC;ACRE;1200435;SANTA ROSA DO PURUS; 35.164 
2012;AC;ACRE;1200435;SANTA ROSA DO PURUS; 37.657 
2013;AC;ACRE;1200435;SANTA ROSA DO PURUS; 45.136 
2014;AC;ACRE;1200435;SANTA ROSA DO PURUS; 53.395 
2015;AC;ACRE;1200435;SANTA ROSA DO PURUS; 57.988 
2016;AC;ACRE;1200435;SANTA ROSA DO PURUS; 62.132 
2017;AC;ACRE;1200435;SANTA ROSA DO PURUS; 71.271 
2018;AC;ACRE;1200435;SANTA ROSA DO PURUS; 71.761 
2019;AC;ACRE;1200435;SANTA ROSA DO PURUS; 79.725 
2020;AC;ACRE;1200435;SANTA ROSA DO PURUS; 83.424 
2021;AC;ACRE;1200435;SANTA ROSA DO PURUS; 108.545 
2010;AC;ACRE;1200500;SENA MADUREIRA; 264.528 
2011;AC;ACRE;1200500;SENA MADUREIRA; 282.261 
2012;AC;ACRE;1200500;SENA MADUREIRA; 333.671 
2013;AC;ACRE;1200500;SENA MADUREIRA; 426.881 
2014;AC;ACRE;1200500;SENA MADUREIRA; 478.781 
2015;AC;ACRE;1200500;SENA MADUREIRA; 462.253 
2016;AC;ACRE;1200500;SENA MADUREIRA; 476.246 
2017;AC;ACRE;1200500;SENA MADUREIRA; 500.512 
2018;AC;ACRE;1200500;SENA MADUREIRA; 520.298 
2019;AC;ACRE;1200500;SENA MADUREIRA; 539.331 
2020;AC;ACRE;1200500;SENA MADUREIRA; 575.264 
2021;AC;ACRE;1200500;SENA MADUREIRA; 748.094 
2010;AC;ACRE;1200450;SENADOR GUIOMARD; 184.620 
2011;AC;ACRE;1200450;SENADOR GUIOMARD; 228.063 
2012;AC;ACRE;1200450;SENADOR GUIOMARD; 256.395 
2013;AC;ACRE;1200450;SENADOR GUIOMARD; 290.838 
2014;AC;ACRE;1200450;SENADOR GUIOMARD; 325.673 
2015;AC;ACRE;1200450;SENADOR GUIOMARD; 337.471 
2016;AC;ACRE;1200450;SENADOR GUIOMARD; 325.553 
2017;AC;ACRE;1200450;SENADOR GUIOMARD; 359.782 
2018;AC;ACRE;1200450;SENADOR GUIOMARD; 371.144 
2019;AC;ACRE;1200450;SENADOR GUIOMARD; 360.656 
2020;AC;ACRE;1200450;SENADOR GUIOMARD; 349.736 
2021;AC;ACRE;1200450;SENADOR GUIOMARD; 779.672 
2010;AC;ACRE;1200609;TARAUACA; 227.963 
2011;AC;ACRE;1200609;TARAUACA; 264.412 
2012;AC;ACRE;1200609;TARAUACA; 292.548 
2013;AC;ACRE;1200609;TARAUACA; 335.520 
2014;AC;ACRE;1200609;TARAUACA; 387.146 
2015;AC;ACRE;1200609;TARAUACA; 398.537 
2016;AC;ACRE;1200609;TARAUACA; 424.497 
2017;AC;ACRE;1200609;TARAUACA; 470.854 
2018;AC;ACRE;1200609;TARAUACA; 487.948 
2019;AC;ACRE;1200609;TARAUACA; 482.624 
2020;AC;ACRE;1200609;TARAUACA; 511.369 
2021;AC;ACRE;1200609;TARAUACA; 711.884 
2010;AC;ACRE;1200708;XAPURI; 117.260 
2011;AC;ACRE;1200708;XAPURI; 130.867 
2012;AC;ACRE;1200708;XAPURI; 147.390 
2013;AC;ACRE;1200708;XAPURI; 168.708 
2014;AC;ACRE;1200708;XAPURI; 196.802 
2015;AC;ACRE;1200708;XAPURI; 202.844 
2016;AC;ACRE;1200708;XAPURI; 220.428 
2017;AC;ACRE;1200708;XAPURI; 231.302 
2018;AC;ACRE;1200708;XAPURI; 250.235 
2019;AC;ACRE;1200708;XAPURI; 274.589 
2020;AC;ACRE;1200708;XAPURI; 292.281 
2021;AC;ACRE;1200708;XAPURI; 454.981 
2010;AL;ALAGOAS;2700102;AGUA BRANCA; 73.774 
2011;AL;ALAGOAS;2700102;AGUA BRANCA; 128.805 
2012;AL;ALAGOAS;2700102;AGUA BRANCA; 131.486 
2013;AL;ALAGOAS;2700102;AGUA BRANCA; 106.273 
2014;AL;ALAGOAS;2700102;AGUA BRANCA; 111.654 
2015;AL;ALAGOAS;2700102;AGUA BRANCA; 115.971 
2016;AL;ALAGOAS;2700102;AGUA BRANCA; 126.126 
2017;AL;ALAGOAS;2700102;AGUA BRANCA; 136.648 
2018;AL;ALAGOAS;2700102;AGUA BRANCA; 141.121 
2019;AL;ALAGOAS;2700102;AGUA BRANCA; 159.756 
2020;AL;ALAGOAS;2700102;AGUA BRANCA; 166.359 
2021;AL;ALAGOAS;2700102;AGUA BRANCA; 202.655 
2010;AL;ALAGOAS;2700201;ANADIA; 85.608 
2011;AL;ALAGOAS;2700201;ANADIA; 106.699 
2012;AL;ALAGOAS;2700201;ANADIA; 107.645 
2013;AL;ALAGOAS;2700201;ANADIA; 116.960 
2014;AL;ALAGOAS;2700201;ANADIA; 125.747 
2015;AL;ALAGOAS;2700201;ANADIA; 126.221 
2016;AL;ALAGOAS;2700201;ANADIA; 142.668 
2017;AL;ALAGOAS;2700201;ANADIA; 141.403 
2018;AL;ALAGOAS;2700201;ANADIA; 164.867 
2019;AL;ALAGOAS;2700201;ANADIA; 200.940 
2020;AL;ALAGOAS;2700201;ANADIA; 232.193 
2021;AL;ALAGOAS;2700201;ANADIA; 250.457 
2010;AL;ALAGOAS;2700300;ARAPIRACA; 1.908.879 
2011;AL;ALAGOAS;2700300;ARAPIRACA; 2.187.572 
2012;AL;ALAGOAS;2700300;ARAPIRACA; 2.789.061 
2013;AL;ALAGOAS;2700300;ARAPIRACA; 2.973.621 
2014;AL;ALAGOAS;2700300;ARAPIRACA; 3.436.667 
2015;AL;ALAGOAS;2700300;ARAPIRACA; 3.935.792 
2016;AL;ALAGOAS;2700300;ARAPIRACA; 3.892.760 
2017;AL;ALAGOAS;2700300;ARAPIRACA; 4.104.162 
2018;AL;ALAGOAS;2700300;ARAPIRACA; 4.466.701 
2019;AL;ALAGOAS;2700300;ARAPIRACA; 4.964.721 
2020;AL;ALAGOAS;2700300;ARAPIRACA; 5.227.364 
2021;AL;ALAGOAS;2700300;ARAPIRACA; 5.915.938 
2010;AL;ALAGOAS;2700409;ATALAIA; 290.761 
2011;AL;ALAGOAS;2700409;ATALAIA; 354.538 
2012;AL;ALAGOAS;2700409;ATALAIA; 342.775 
2013;AL;ALAGOAS;2700409;ATALAIA; 363.297 
2014;AL;ALAGOAS;2700409;ATALAIA; 416.620 
2015;AL;ALAGOAS;2700409;ATALAIA; 493.818 
2016;AL;ALAGOAS;2700409;ATALAIA; 622.204 
2017;AL;ALAGOAS;2700409;ATALAIA; 766.075 
2018;AL;ALAGOAS;2700409;ATALAIA; 763.995 
2019;AL;ALAGOAS;2700409;ATALAIA; 948.281 
2020;AL;ALAGOAS;2700409;ATALAIA; 1.075.577 
2021;AL;ALAGOAS;2700409;ATALAIA; 1.500.344 
2010;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 74.793 
2011;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 81.569 
2012;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 87.036 
2013;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 116.982 
2014;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 124.802 
2015;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 135.259 
2016;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 172.241 
2017;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 160.796 
2018;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 177.229 
2019;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 183.872 
2020;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 205.049 
2021;AL;ALAGOAS;2700508;BARRA DE SANTO ANTONIO; 262.005 
2010;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 67.809 
2011;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 85.810 
2012;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 104.920 
2013;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 114.710 
2014;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 125.504 
2015;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 144.500 
2016;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 158.460 
2017;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 171.264 
2018;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 194.584 
2019;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 214.359 
2020;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 228.783 
2021;AL;ALAGOAS;2700607;BARRA DE SAO MIGUEL; 238.431 
2010;AL;ALAGOAS;2700706;BATALHA; 68.777 
2011;AL;ALAGOAS;2700706;BATALHA; 82.592 
2012;AL;ALAGOAS;2700706;BATALHA; 96.048 
2013;AL;ALAGOAS;2700706;BATALHA; 115.255 
2014;AL;ALAGOAS;2700706;BATALHA; 121.649 
2015;AL;ALAGOAS;2700706;BATALHA; 147.463 
2016;AL;ALAGOAS;2700706;BATALHA; 161.695 
2017;AL;ALAGOAS;2700706;BATALHA; 174.238 
2018;AL;ALAGOAS;2700706;BATALHA; 167.211 
2019;AL;ALAGOAS;2700706;BATALHA; 170.568 
2020;AL;ALAGOAS;2700706;BATALHA; 190.218 
2021;AL;ALAGOAS;2700706;BATALHA; 229.933 
2010;AL;ALAGOAS;2700805;BELEM; 24.114 
2011;AL;ALAGOAS;2700805;BELEM; 25.173 
2012;AL;ALAGOAS;2700805;BELEM; 30.987 
2013;AL;ALAGOAS;2700805;BELEM; 33.546 
2014;AL;ALAGOAS;2700805;BELEM; 31.806 
2015;AL;ALAGOAS;2700805;BELEM; 35.077 
2016;AL;ALAGOAS;2700805;BELEM; 36.110 
2017;AL;ALAGOAS;2700805;BELEM; 38.220 
2018;AL;ALAGOAS;2700805;BELEM; 84.427 
2019;AL;ALAGOAS;2700805;BELEM; 113.034 
2020;AL;ALAGOAS;2700805;BELEM; 179.162 
2021;AL;ALAGOAS;2700805;BELEM; 191.318 
2010;AL;ALAGOAS;2700904;BELO MONTE; 37.167 
2011;AL;ALAGOAS;2700904;BELO MONTE; 40.095 
2012;AL;ALAGOAS;2700904;BELO MONTE; 40.653 
2013;AL;ALAGOAS;2700904;BELO MONTE; 61.633 
2014;AL;ALAGOAS;2700904;BELO MONTE; 57.952 
2015;AL;ALAGOAS;2700904;BELO MONTE; 70.829 
2016;AL;ALAGOAS;2700904;BELO MONTE; 64.308 
2017;AL;ALAGOAS;2700904;BELO MONTE; 83.338 
2018;AL;ALAGOAS;2700904;BELO MONTE; 79.110 
2019;AL;ALAGOAS;2700904;BELO MONTE; 100.408 
2020;AL;ALAGOAS;2700904;BELO MONTE; 116.380 
2021;AL;ALAGOAS;2700904;BELO MONTE; 151.387 
2010;AL;ALAGOAS;2701001;BOCA DA MATA; 197.707 
2011;AL;ALAGOAS;2701001;BOCA DA MATA; 248.430 
2012;AL;ALAGOAS;2701001;BOCA DA MATA; 243.990 
2013;AL;ALAGOAS;2701001;BOCA DA MATA; 271.561 
2014;AL;ALAGOAS;2701001;BOCA DA MATA; 325.783 
2015;AL;ALAGOAS;2701001;BOCA DA MATA; 298.136 
2016;AL;ALAGOAS;2701001;BOCA DA MATA; 267.986 
2017;AL;ALAGOAS;2701001;BOCA DA MATA; 268.988 
2018;AL;ALAGOAS;2701001;BOCA DA MATA; 329.475 
2019;AL;ALAGOAS;2701001;BOCA DA MATA; 352.915 
2020;AL;ALAGOAS;2701001;BOCA DA MATA; 450.141 
2021;AL;ALAGOAS;2701001;BOCA DA MATA; 506.028 
2010;AL;ALAGOAS;2701100;BRANQUINHA; 65.198 
2011;AL;ALAGOAS;2701100;BRANQUINHA; 57.449 
2012;AL;ALAGOAS;2701100;BRANQUINHA; 46.788 
2013;AL;ALAGOAS;2701100;BRANQUINHA; 48.522 
2014;AL;ALAGOAS;2701100;BRANQUINHA; 63.156 
2015;AL;ALAGOAS;2701100;BRANQUINHA; 153.516 
2016;AL;ALAGOAS;2701100;BRANQUINHA; 375.433 
2017;AL;ALAGOAS;2701100;BRANQUINHA; 395.000 
2018;AL;ALAGOAS;2701100;BRANQUINHA; 497.048 
2019;AL;ALAGOAS;2701100;BRANQUINHA; 505.624 
2020;AL;ALAGOAS;2701100;BRANQUINHA; 690.877 
2021;AL;ALAGOAS;2701100;BRANQUINHA; 775.410 
2010;AL;ALAGOAS;2701209;CACIMBINHAS; 41.937 
2011;AL;ALAGOAS;2701209;CACIMBINHAS; 46.455 
2012;AL;ALAGOAS;2701209;CACIMBINHAS; 55.950 
2013;AL;ALAGOAS;2701209;CACIMBINHAS; 64.171 
2014;AL;ALAGOAS;2701209;CACIMBINHAS; 70.416 
2015;AL;ALAGOAS;2701209;CACIMBINHAS; 79.688 
2016;AL;ALAGOAS;2701209;CACIMBINHAS; 77.752 
2017;AL;ALAGOAS;2701209;CACIMBINHAS; 88.262 
2018;AL;ALAGOAS;2701209;CACIMBINHAS; 94.176 
2019;AL;ALAGOAS;2701209;CACIMBINHAS; 101.777 
2020;AL;ALAGOAS;2701209;CACIMBINHAS; 115.898 
2021;AL;ALAGOAS;2701209;CACIMBINHAS; 140.461 
2010;AL;ALAGOAS;2701308;CAJUEIRO; 95.208 
2011;AL;ALAGOAS;2701308;CAJUEIRO; 104.574 
2012;AL;ALAGOAS;2701308;CAJUEIRO; 134.442 
2013;AL;ALAGOAS;2701308;CAJUEIRO; 128.290 
2014;AL;ALAGOAS;2701308;CAJUEIRO; 135.658 
2015;AL;ALAGOAS;2701308;CAJUEIRO; 141.147 
2016;AL;ALAGOAS;2701308;CAJUEIRO; 153.730 
2017;AL;ALAGOAS;2701308;CAJUEIRO; 171.715 
2018;AL;ALAGOAS;2701308;CAJUEIRO; 183.724 
2019;AL;ALAGOAS;2701308;CAJUEIRO; 176.176 
2020;AL;ALAGOAS;2701308;CAJUEIRO; 193.596 
2021;AL;ALAGOAS;2701308;CAJUEIRO; 207.869 
2010;AL;ALAGOAS;2701357;CAMPESTRE; 32.257 
2011;AL;ALAGOAS;2701357;CAMPESTRE; 40.403 
2012;AL;ALAGOAS;2701357;CAMPESTRE; 43.358 
2013;AL;ALAGOAS;2701357;CAMPESTRE; 50.414 
2014;AL;ALAGOAS;2701357;CAMPESTRE; 52.649 
2015;AL;ALAGOAS;2701357;CAMPESTRE; 55.584 
2016;AL;ALAGOAS;2701357;CAMPESTRE; 56.852 
2017;AL;ALAGOAS;2701357;CAMPESTRE; 63.955 
2018;AL;ALAGOAS;2701357;CAMPESTRE; 58.327 
2019;AL;ALAGOAS;2701357;CAMPESTRE; 62.310 
2020;AL;ALAGOAS;2701357;CAMPESTRE; 61.927 
2021;AL;ALAGOAS;2701357;CAMPESTRE; 87.759 
